name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
Этнические украшения,550.0,https://www.avito.ru/ufa/chasy_i_ukrasheniya/etnicheskie_ukrasheniya_2109021847?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,1030,Уфа,Илюза Кусярбаева,,12
Этно украшения бижутерия,1800.0,https://www.avito.ru/moskva/odezhda_obuv_aksessuary/etno_ukrasheniya_bizhuteriya_4499500693?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,200,Москва,Ирина,,27
Украшения в этно стиле,400.0,https://www.avito.ru/chaykovskiy/chasy_i_ukrasheniya/ukrasheniya_v_etno_stile_4784158298?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,72,Чайковский г.о.,Milen,,3
Серьги. Этно украшения в казахском стиле,800.0,https://www.avito.ru/sankt-peterburg/chasy_i_ukrasheniya/sergi._etno_ukrasheniya_v_kazahskom_stile_4897650867?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,727,Санкт-Петербург,Розалия Максутова,,9
Наборы. Этно украшения в казахском стиле,1300.0,https://www.avito.ru/sankt-peterburg/chasy_i_ukrasheniya/nabory._etno_ukrasheniya_v_kazahskom_stile_4898242591?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,372,Санкт-Петербург,Розалия Максутова,,9
Этно Бижутерия,250.0,https://www.avito.ru/dagestan_kizlyar/odezhda_obuv_aksessuary/etno_bizhuteriya_4837928941?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,14,Кизляр,Асият,,0
Украшения разные,1000.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_raznye_3878195652?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,415,Москва,Роза Майская,,132
Этно кольца и браслеты,500.0,https://www.avito.ru/derbent/odezhda_obuv_aksessuary/etno_koltsa_i_braslety_4297498885?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,179,Дербент,Анжела,,0
Этно украшения,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_3865938301?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,357,Махачкала,ethno,,217
Украшение в бохо этно стиле (Индия),400.0,https://www.avito.ru/ekaterinburg/chasy_i_ukrasheniya/ukrashenie_v_boho_etno_stile_indiya_4691090891?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,50,Екатеринбург,AV,,16
"Украшения Этно/ кулон, сумочка",1300.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_etno_kulon_sumochka_3518521996?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,249,Москва,Татьяна,,50
Украшения этника Афганистан лазурит новые,4500.0,https://www.avito.ru/borovsk/chasy_i_ukrasheniya/ukrasheniya_etnika_afganistan_lazurit_novye_4255540326?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,834,Боровский р-н,восточная лавка,,17
Кулон украшение на шею Новый деревянный,500.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/kulon_ukrashenie_na_sheyu_novyy_derevyannyy_4945567698?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,90,Москва,Татьяна,,58
Бусы-колье из натурального агата. Этно-бохо стиль,2000.0,https://www.avito.ru/klin/chasy_i_ukrasheniya/busy-kole_iz_naturalnogo_agata._etno-boho_stil_7259865607?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,53,Клин,EKo Style Bijou,,26
